ID;Name;Total Paid;Pending;Date
61;Cliente 61;1340.0;0;2014-12-03
0;Cliente Sauna;4375.0;0;2014-02-04
17;Cliente 17;4.0;334.0;2014-02-04
21;Cliente 21;50.0;6.0;2014-02-04
22;Cliente 22;430.0;6.0;2014-02-04
23;Cliente 23;0;237.67;2014-02-04
0;Cliente Sauna;7667.0;0;2015-02-04
0;Cliente Sauna;78272.0;0;2014-03-04
11;Cliente 11;237.0;253.0;2014-03-04
17;Cliente 17;4.0;592.6700000000001;2014-03-04
21;Cliente 21;1389.0;207.0;2014-03-04
23;Cliente 23;0;461.66999999999996;2014-03-04
40;Cliente 40;260.0;0;2014-03-04
0;Cliente Sauna;18040.0;0;2015-03-04
21;Cliente 21;309.0;0;2015-03-04
37;Cliente 37;300.0;0;2015-03-04
0;Cliente Sauna;37232.0;0;2014-04-04
21;Cliente 21;786.0;315.0;2014-04-04
22;Cliente 22;724.0;212.0;2014-04-04
39;Cliente 39;1536.5;101.0;2014-04-04
0;Cliente Sauna;2.0e4;0;2015-04-04
1;Cliente 1;1.0e3;0;2015-04-04
2;Cliente 2;920.0;0;2015-04-04
6;Cliente 6;605.0;0;2015-04-04
20;Cliente 20;233.0;870.0;2015-04-04
0;Cliente Sauna;59721.0;0;2014-06-04
57;SCliente 57;195.0;0;2014-06-04
58;Cliente 58;195.0;0;2014-06-04
0;Cliente Sauna;31705.0;0;2014-07-04
0;Cliente Sauna;56377.0;0;2014-08-04
23;Cliente 23;0;1298.01;2014-08-04
0;Cliente Sauna;60592.0;0;2014-09-04
23;Cliente 23;0;1398.01;2014-09-04
0;Cliente Sauna;46682.0;0;2014-10-04
0;Cliente Sauna;67062.0;0;2014-11-04
0;Cliente Sauna;52419.0;0;2014-12-04
16;Cliente 16;968.0;75.0;2014-12-04
0;Cliente Sauna;34989.0;0;2015-01-05
1;Cliente 1;140.0;0;2015-01-05
17;Cliente 17;0;100.0;2015-01-05
21;Cliente 21;786.0;100.0;2015-01-05
0;Cliente Sauna;41940.0;0;2014-02-05
29;Cliente 29;0;630.0;2014-02-05
49;Cliente 49;380.0;0;2014-02-05
0;Cliente Sauna;61611.0;0;2015-02-05
11;Cliente 11;200.0;0;2015-02-05
13;Cliente 13;52.0;207.0;2015-02-05
69;Cliente 69;50.0;0;2015-02-05
70;Cliente 70;50.0;0;2015-02-05
71;Cliente 71;50.0;0;2015-02-05
0;Cliente Sauna;29411.0;0;2014-03-05
22;Cliente 22;566.0;232.0;2014-03-05
29;Cliente 29;450.0;330.0;2014-03-05
0;Cliente Sauna;51804.0;0;2015-03-05
6;Cliente 6;1411.0;0;2015-03-05
19;Cliente 19;745.5;0;2015-03-05
23;Cliente 23;0;561.67;2015-03-05
40;Cliente 40;410.0;0;2015-03-05
